
===== capture start 2026-09-18 12:14:52 port=COM12 =====
[12:14:55] I (951331) status_manager: status published online=1 usb_hid_ready=1
[12:15:05] I (961331) status_manager: status published online=1 usb_hid_ready=1
[12:15:15] I (971331) status_manager: status published online=1 usb_hid_ready=1
[12:15:25] I (981331) status_manager: status published online=1 usb_hid_ready=1
[12:15:35] I (991331) status_manager: status published online=1 usb_hid_ready=1
[12:15:45] I (1001331) status_manager: status published online=1 usb_hid_ready=1
[12:15:55] I (1011331) status_manager: status published online=1 usb_hid_ready=1
[12:16:05] I (1021331) status_manager: status published online=1 usb_hid_ready=1
[12:16:15] I (1031331) status_manager: status published online=1 usb_hid_ready=1
[12:16:25] I (1041331) status_manager: status published online=1 usb_hid_ready=1
[12:16:35] I (1051331) status_manager: status published online=1 usb_hid_ready=1
[12:16:45] I (1061331) status_manager: status published online=1 usb_hid_ready=1
[12:16:55] I (1071331) status_manager: status published online=1 usb_hid_ready=1
[12:17:05] I (1081331) status_manager: status published online=1 usb_hid_ready=1
[12:17:15] I (1091331) status_manager: status published online=1 usb_hid_ready=1
[12:17:25] I (1101331) status_manager: status published online=1 usb_hid_ready=1
[12:17:35] I (1111331) status_manager: status published online=1 usb_hid_ready=1
[12:17:45] I (1121331) status_manager: status published online=1 usb_hid_ready=1
[12:17:55] I (1131331) status_manager: status published online=1 usb_hid_ready=1
[12:18:05] I (1141331) status_manager: status published online=1 usb_hid_ready=1
[12:18:15] I (1151331) status_manager: status published online=1 usb_hid_ready=1
[12:18:25] I (1161331) status_manager: status published online=1 usb_hid_ready=1
[12:18:35] I (1171331) status_manager: status published online=1 usb_hid_ready=1
[12:18:45] I (1181331) status_manager: status published online=1 usb_hid_ready=1
[12:18:55] I (1191331) status_manager: status published online=1 usb_hid_ready=1
[12:19:05] I (1201331) status_manager: status published online=1 usb_hid_ready=1
[12:19:15] I (1211331) status_manager: status published online=1 usb_hid_ready=1
[12:19:25] I (1221331) status_manager: status published online=1 usb_hid_ready=1
[12:19:35] I (1231331) status_manager: status published online=1 usb_hid_ready=1
[12:19:45] I (1241331) status_manager: status published online=1 usb_hid_ready=1
[12:19:55] I (1251331) status_manager: status published online=1 usb_hid_ready=1
[12:20:05] I (1261331) status_manager: status published online=1 usb_hid_ready=1
[12:20:15] I (1271331) status_manager: status published online=1 usb_hid_ready=1
[12:20:25] I (1281331) status_manager: status published online=1 usb_hid_ready=1
[12:20:35] I (1291331) status_manager: status published online=1 usb_hid_ready=1
[12:20:45] I (1301331) status_manager: status published online=1 usb_hid_ready=1
[12:20:55] I (1311331) status_manager: status published online=1 usb_hid_ready=1
[12:21:05] I (1321331) status_manager: status published online=1 usb_hid_ready=1
[12:21:15] I (1331331) status_manager: status published online=1 usb_hid_ready=1
[12:21:25] I (1341331) status_manager: status published online=1 usb_hid_ready=1
[12:21:35] I (1351331) status_manager: status published online=1 usb_hid_ready=1
[12:21:45] I (1361331) status_manager: status published online=1 usb_hid_ready=1
[12:21:55] I (1371331) status_manager: status published online=1 usb_hid_ready=1
[12:22:05] I (1381331) status_manager: status published online=1 usb_hid_ready=1
[12:22:15] I (1391331) status_manager: status published online=1 usb_hid_ready=1
[12:22:25] I (1401331) status_manager: status published online=1 usb_hid_ready=1
[12:22:35] I (1411331) status_manager: status published online=1 usb_hid_ready=1
[12:22:45] I (1421331) status_manager: status published online=1 usb_hid_ready=1
[12:22:55] I (1431331) status_manager: status published online=1 usb_hid_ready=1
[12:23:05] I (1441331) status_manager: status published online=1 usb_hid_ready=1
[12:23:15] I (1451331) status_manager: status published online=1 usb_hid_ready=1
[12:23:25] I (1461331) status_manager: status published online=1 usb_hid_ready=1
[12:23:35] I (1471331) status_manager: status published online=1 usb_hid_ready=1
[12:23:45] I (1481331) status_manager: status published online=1 usb_hid_ready=1
[12:23:55] I (1491331) status_manager: status published online=1 usb_hid_ready=1
[12:24:05] I (1501331) status_manager: status published online=1 usb_hid_ready=1
[12:24:15] I (1511331) status_manager: status published online=1 usb_hid_ready=1
[12:24:25] I (1521331) status_manager: status published online=1 usb_hid_ready=1
[12:24:35] I (1531331) status_manager: status published online=1 usb_hid_ready=1
[12:24:45] I (1541331) status_manager: status published online=1 usb_hid_ready=1
[12:24:55] I (1551331) status_manager: status published online=1 usb_hid_ready=1
[12:25:05] I (1561331) status_manager: status published online=1 usb_hid_ready=1
[12:25:15] I (1571331) status_manager: status published online=1 usb_hid_ready=1
[12:25:25] I (1581331) status_manager: status published online=1 usb_hid_ready=1
[12:25:35] I (1591331) status_manager: status published online=1 usb_hid_ready=1
[12:25:45] I (1601331) status_manager: status published online=1 usb_hid_ready=1
[12:25:55] I (1611331) status_manager: status published online=1 usb_hid_ready=1
[12:26:05] I (1621331) status_manager: status published online=1 usb_hid_ready=1
[12:26:15] I (1631331) status_manager: status published online=1 usb_hid_ready=1
[12:26:25] I (1641331) status_manager: status published online=1 usb_hid_ready=1
[12:26:35] I (1651331) status_manager: status published online=1 usb_hid_ready=1
[12:26:45] I (1661331) status_manager: status published online=1 usb_hid_ready=1
[12:26:55] I (1671331) status_manager: status published online=1 usb_hid_ready=1
[12:27:05] I (1681331) status_manager: status published online=1 usb_hid_ready=1
[12:27:15] I (1691331) status_manager: status published online=1 usb_hid_ready=1
[12:27:25] I (1701331) status_manager: status published online=1 usb_hid_ready=1
[12:27:35] I (1711331) status_manager: status published online=1 usb_hid_ready=1
[12:27:45] I (1721331) status_manager: status published online=1 usb_hid_ready=1
[12:27:55] I (1731331) status_manager: status published online=1 usb_hid_ready=1
[12:28:05] I (1741331) status_manager: status published online=1 usb_hid_ready=1
[12:28:15] I (1751331) status_manager: status published online=1 usb_hid_ready=1
[12:28:25] I (1761331) status_manager: status published online=1 usb_hid_ready=1
[12:28:35] I (1771331) status_manager: status published online=1 usb_hid_ready=1
[12:28:45] I (1781331) status_manager: status published online=1 usb_hid_ready=1
[12:28:55] I (1791331) status_manager: status published online=1 usb_hid_ready=1
[12:29:05] I (1801331) status_manager: status published online=1 usb_hid_ready=1
[12:29:15] I (1811331) status_manager: status published online=1 usb_hid_ready=1
